denuncia_fecha,denuncia_tipo_explotacion,denuncia_via_ingreso,denunciante_tipo_acercamiento,hecho_localidad,hecho_provincia,hecho_pais,hecho_denuncia_previa,derivacion_judicializacion_organismo,derivacion_judicializacion_fecha
2017-01-18,Desaparición,Línea 145,Otros,VALLE VIEJO,Catamarca,Argentina,,Protex,2017-01-18
2017-01-18,Explotación laboral,Línea 145,Sin datos,CIUDAD CÓRDOBA,Córdoba,Argentina,,Protex,2017-01-18
2017-01-18,Explotación sexual,Línea 145,Campañas del programa,FLORESTA,Caba,Argentina,,PNA Área legal para judicializar ,2017-01-18
2017-01-18,Explotación sexual,Línea 145,Otros,FLORES,Caba,Argentina,,PNA Área legal para judicializar ,2017-01-18
2017-01-19,Desaparición,Línea 145,Otros,Caba,Caba,Argentina,Sí,Área legal (judicializadas),2017-01-19
2017-01-19,Desaparición,Línea 145,Otros,Caba,Caba,Argentina,Sí,Área legal (judicializadas),2017-01-19
2017-01-19,Desaparición,Línea 145,Sin datos,GENERAL ENRIQUE MOSCONI DEPARTAMENTO SAN MARTIN,Salta,Argentina,Sí,Área legal (judicializadas),2017-01-19
2017-01-19,Desaparición,Línea 145,Sin datos,SAN RAFAEL,Mendoza,Argentina,,Área legal (judicializadas),2017-01-19
2017-01-19,Desaparición,Línea 145,Sin datos,SAN RAFAEL,Mendoza,Argentina,,Área legal (judicializadas),2017-01-19
2017-01-19,Posible captación,Línea 145,Internet,,No aplica,No aplica,,Protex,2017-01-19
2017-01-19,Explotación sexual,Línea 145,Otros,PILAR,Buenos Aires,Argentina,,Protex,2017-01-19
2017-01-19,Desaparición,Línea 145,Otros,BURZACO,Buenos Aires,Argentina,,Protex,2017-01-19
2017-01-19,Explotación sexual  - secuestro/Venta de niños/pornografía infantil,Línea 145,Otros,BURZACO,Buenos Aires,Argentina,,Protex,2017-01-19
2017-01-19,Explotación sexual,Línea 145,Sin datos,BELLA VISTA,Buenos Aires,Argentina,,Protex,2017-01-19
2017-01-19,Explotación sexual,Línea 145,Sin datos,SAN LUIS,San Luis,Argentina,,Protex,2017-01-19
2017-01-19,,Sin datos,Sin datos,,,,,Protex,2017-01-19
2017-01-19,Explotación laboral,Línea 145,ONG – Org Nacionales,FLORES,Caba,Argentina,,Área legal (judicializadas) - Fuerzas de seguridad federales,2017-01-19
2017-01-19,Traslado de personas,Línea 145,Televisión,CUTRAL CO,Neuquén,Argentina,,Protex - Fuerzas de seguridad federales,2017-01-19
2017-01-20,Explotación sexual,Línea 145,Otros,Caba,Caba,Argentina,,Área legal (judicializadas),2017-01-21
